"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -8.61728916558E-001, +0.00000000000E+000
+1.01187500000E+009, -8.83482665727E-001, +0.00000000000E+000
+1.02375000000E+009, -9.04326214859E-001, +0.00000000000E+000
+1.03562500000E+009, -8.83446799578E-001, +0.00000000000E+000
+1.04750000000E+009, -8.83874754783E-001, +0.00000000000E+000
+1.05937500000E+009, -9.17372521927E-001, +0.00000000000E+000
+1.07125000000E+009, -9.16191604790E-001, +0.00000000000E+000
+1.08312500000E+009, -9.35957337729E-001, +0.00000000000E+000
+1.09500000000E+009, -9.34455959378E-001, +0.00000000000E+000
+1.10687500000E+009, -9.31475412640E-001, +0.00000000000E+000
+1.11875000000E+009, -9.32954729350E-001, +0.00000000000E+000
+1.13062500000E+009, -9.34766097390E-001, +0.00000000000E+000
+1.14250000000E+009, -9.27488655593E-001, +0.00000000000E+000
+1.15437500000E+009, -9.17781176099E-001, +0.00000000000E+000
+1.16625000000E+009, -9.23085828820E-001, +0.00000000000E+000
+1.17812500000E+009, -9.31374651615E-001, +0.00000000000E+000
+1.19000000000E+009, -9.25820416824E-001, +0.00000000000E+000
+1.20187500000E+009, -9.32184128251E-001, +0.00000000000E+000
+1.21375000000E+009, -9.23361525006E-001, +0.00000000000E+000
+1.22562500000E+009, -9.50617792552E-001, +0.00000000000E+000
+1.23750000000E+009, -9.50680258871E-001, +0.00000000000E+000
+1.24937500000E+009, -9.91145733297E-001, +0.00000000000E+000
+1.26125000000E+009, -1.00226411959E+000, +0.00000000000E+000
+1.27312500000E+009, -1.02816676709E+000, +0.00000000000E+000
+1.28500000000E+009, -1.05506415033E+000, +0.00000000000E+000
+1.29687500000E+009, -1.11704839243E+000, +0.00000000000E+000
+1.30875000000E+009, -1.14499429255E+000, +0.00000000000E+000
+1.32062500000E+009, -1.16997220613E+000, +0.00000000000E+000
+1.33250000000E+009, -1.19119334156E+000, +0.00000000000E+000
+1.34437500000E+009, -1.24527355983E+000, +0.00000000000E+000
+1.35625000000E+009, -1.26813779549E+000, +0.00000000000E+000
+1.36812500000E+009, -1.30855386721E+000, +0.00000000000E+000
+1.38000000000E+009, -1.35161175956E+000, +0.00000000000E+000
+1.39187500000E+009, -1.35071368401E+000, +0.00000000000E+000
+1.40375000000E+009, -1.36769063468E+000, +0.00000000000E+000
+1.41562500000E+009, -1.37861645823E+000, +0.00000000000E+000
+1.42750000000E+009, -1.40604493113E+000, +0.00000000000E+000
+1.43937500000E+009, -1.39409356256E+000, +0.00000000000E+000
+1.45125000000E+009, -1.41524017989E+000, +0.00000000000E+000
+1.46312500000E+009, -1.41590091358E+000, +0.00000000000E+000
+1.47500000000E+009, -1.40485716394E+000, +0.00000000000E+000
+1.48687500000E+009, -1.41011859080E+000, +0.00000000000E+000
+1.49875000000E+009, -1.40492738430E+000, +0.00000000000E+000
+1.51062500000E+009, -1.41693053896E+000, +0.00000000000E+000
+1.52250000000E+009, -1.42503640131E+000, +0.00000000000E+000
+1.53437500000E+009, -1.40663336821E+000, +0.00000000000E+000
+1.54625000000E+009, -1.41623634598E+000, +0.00000000000E+000
+1.55812500000E+009, -1.42911732874E+000, +0.00000000000E+000
+1.57000000000E+009, -1.44456572461E+000, +0.00000000000E+000
+1.58187500000E+009, -1.47517491519E+000, +0.00000000000E+000
+1.59375000000E+009, -1.50103341335E+000, +0.00000000000E+000
+1.60562500000E+009, -1.53047136778E+000, +0.00000000000E+000
+1.61750000000E+009, -1.54746851016E+000, +0.00000000000E+000
+1.62937500000E+009, -1.56623654559E+000, +0.00000000000E+000
+1.64125000000E+009, -1.61035972939E+000, +0.00000000000E+000
+1.65312500000E+009, -1.62475214735E+000, +0.00000000000E+000
+1.66500000000E+009, -1.62797084163E+000, +0.00000000000E+000
+1.67687500000E+009, -1.65599047795E+000, +0.00000000000E+000
+1.68875000000E+009, -1.65362709670E+000, +0.00000000000E+000
+1.70062500000E+009, -1.68022459807E+000, +0.00000000000E+000
+1.71250000000E+009, -1.65623998405E+000, +0.00000000000E+000
+1.72437500000E+009, -1.68516580510E+000, +0.00000000000E+000
+1.73625000000E+009, -1.68021032965E+000, +0.00000000000E+000
+1.74812500000E+009, -1.67777698242E+000, +0.00000000000E+000
+1.76000000000E+009, -1.67545272861E+000, +0.00000000000E+000
+1.77187500000E+009, -1.67989862388E+000, +0.00000000000E+000
+1.78375000000E+009, -1.64903411432E+000, +0.00000000000E+000
+1.79562500000E+009, -1.68531867442E+000, +0.00000000000E+000
+1.80750000000E+009, -1.65948539218E+000, +0.00000000000E+000
+1.81937500000E+009, -1.64635984839E+000, +0.00000000000E+000
+1.83125000000E+009, -1.63306020093E+000, +0.00000000000E+000
+1.84312500000E+009, -1.62609923292E+000, +0.00000000000E+000
+1.85500000000E+009, -1.57529976732E+000, +0.00000000000E+000
+1.86687500000E+009, -1.57597329201E+000, +0.00000000000E+000
+1.87875000000E+009, -1.57271859766E+000, +0.00000000000E+000
+1.89062500000E+009, -1.59269461453E+000, +0.00000000000E+000
+1.90250000000E+009, -1.58626312170E+000, +0.00000000000E+000
+1.91437500000E+009, -1.60881757707E+000, +0.00000000000E+000
+1.92625000000E+009, -1.60929213849E+000, +0.00000000000E+000
