"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.58925854212E-001, +0.00000000000E+000
+1.01187500000E+009, -2.47715301293E-001, +0.00000000000E+000
+1.02375000000E+009, -2.42223972652E-001, +0.00000000000E+000
+1.03562500000E+009, -2.53985149378E-001, +0.00000000000E+000
+1.04750000000E+009, -2.66215428111E-001, +0.00000000000E+000
+1.05937500000E+009, -2.58290520919E-001, +0.00000000000E+000
+1.07125000000E+009, -2.58137895729E-001, +0.00000000000E+000
+1.08312500000E+009, -2.57801517485E-001, +0.00000000000E+000
+1.09500000000E+009, -2.60485435895E-001, +0.00000000000E+000
+1.10687500000E+009, -2.75885758897E-001, +0.00000000000E+000
+1.11875000000E+009, -2.53470589061E-001, +0.00000000000E+000
+1.13062500000E+009, -2.64980547384E-001, +0.00000000000E+000
+1.14250000000E+009, -2.60048557484E-001, +0.00000000000E+000
+1.15437500000E+009, -2.71216000360E-001, +0.00000000000E+000
+1.16625000000E+009, -2.62637192441E-001, +0.00000000000E+000
+1.17812500000E+009, -2.69063015621E-001, +0.00000000000E+000
+1.19000000000E+009, -2.44461228731E-001, +0.00000000000E+000
+1.20187500000E+009, -2.40911283021E-001, +0.00000000000E+000
+1.21375000000E+009, -2.58318609910E-001, +0.00000000000E+000
+1.22562500000E+009, -2.76356293946E-001, +0.00000000000E+000
+1.23750000000E+009, -2.76106009371E-001, +0.00000000000E+000
+1.24937500000E+009, -2.52157839929E-001, +0.00000000000E+000
+1.26125000000E+009, -2.82519538616E-001, +0.00000000000E+000
+1.27312500000E+009, -2.53227884905E-001, +0.00000000000E+000
+1.28500000000E+009, -2.73164798816E-001, +0.00000000000E+000
+1.29687500000E+009, -2.71341112644E-001, +0.00000000000E+000
+1.30875000000E+009, -2.76679274506E-001, +0.00000000000E+000
+1.32062500000E+009, -2.72962710640E-001, +0.00000000000E+000
+1.33250000000E+009, -3.05060572822E-001, +0.00000000000E+000
+1.34437500000E+009, -2.91044608025E-001, +0.00000000000E+000
+1.35625000000E+009, -2.96757342471E-001, +0.00000000000E+000
+1.36812500000E+009, -3.28842349373E-001, +0.00000000000E+000
+1.38000000000E+009, -3.21850334501E-001, +0.00000000000E+000
+1.39187500000E+009, -3.29442912611E-001, +0.00000000000E+000
+1.40375000000E+009, -3.21075650822E-001, +0.00000000000E+000
+1.41562500000E+009, -3.25994008191E-001, +0.00000000000E+000
+1.42750000000E+009, -3.46712782068E-001, +0.00000000000E+000
+1.43937500000E+009, -3.36409219367E-001, +0.00000000000E+000
+1.45125000000E+009, -3.29511280821E-001, +0.00000000000E+000
+1.46312500000E+009, -3.25460905229E-001, +0.00000000000E+000
+1.47500000000E+009, -3.25349837684E-001, +0.00000000000E+000
+1.48687500000E+009, -3.20623360112E-001, +0.00000000000E+000
+1.49875000000E+009, -3.43756629726E-001, +0.00000000000E+000
+1.51062500000E+009, -3.23531639812E-001, +0.00000000000E+000
+1.52250000000E+009, -3.37222613780E-001, +0.00000000000E+000
+1.53437500000E+009, -3.26449758796E-001, +0.00000000000E+000
+1.54625000000E+009, -3.26312038888E-001, +0.00000000000E+000
+1.55812500000E+009, -3.43166993430E-001, +0.00000000000E+000
+1.57000000000E+009, -3.32111205183E-001, +0.00000000000E+000
+1.58187500000E+009, -3.37236408779E-001, +0.00000000000E+000
+1.59375000000E+009, -3.34541081281E-001, +0.00000000000E+000
+1.60562500000E+009, -3.52265136045E-001, +0.00000000000E+000
+1.61750000000E+009, -3.47402242039E-001, +0.00000000000E+000
+1.62937500000E+009, -3.37989886828E-001, +0.00000000000E+000
+1.64125000000E+009, -3.26168776937E-001, +0.00000000000E+000
+1.65312500000E+009, -3.45682716408E-001, +0.00000000000E+000
+1.66500000000E+009, -3.39816138617E-001, +0.00000000000E+000
+1.67687500000E+009, -3.33932584748E-001, +0.00000000000E+000
+1.68875000000E+009, -3.61826990506E-001, +0.00000000000E+000
+1.70062500000E+009, -3.57026444515E-001, +0.00000000000E+000
+1.71250000000E+009, -3.36788896163E-001, +0.00000000000E+000
+1.72437500000E+009, -3.43142562612E-001, +0.00000000000E+000
+1.73625000000E+009, -3.43149215087E-001, +0.00000000000E+000
+1.74812500000E+009, -3.54164070893E-001, +0.00000000000E+000
+1.76000000000E+009, -3.42899055908E-001, +0.00000000000E+000
+1.77187500000E+009, -3.30155917853E-001, +0.00000000000E+000
+1.78375000000E+009, -3.36606393800E-001, +0.00000000000E+000
+1.79562500000E+009, -3.43920914499E-001, +0.00000000000E+000
+1.80750000000E+009, -3.30716802546E-001, +0.00000000000E+000
+1.81937500000E+009, -3.51401297513E-001, +0.00000000000E+000
+1.83125000000E+009, -3.30584310715E-001, +0.00000000000E+000
+1.84312500000E+009, -3.42447887054E-001, +0.00000000000E+000
+1.85500000000E+009, -3.42026409228E-001, +0.00000000000E+000
+1.86687500000E+009, -3.56785218817E-001, +0.00000000000E+000
+1.87875000000E+009, -3.38952386492E-001, +0.00000000000E+000
+1.89062500000E+009, -3.51432261608E-001, +0.00000000000E+000
+1.90250000000E+009, -3.71322144584E-001, +0.00000000000E+000
+1.91437500000E+009, -3.47246926890E-001, +0.00000000000E+000
+1.92625000000E+009, -3.69959431355E-001, +0.00000000000E+000
+1.93812500000E+009, -3.70815269694E-001, +0.00000000000E+000
+1.95000000000E+009, -3.72528732906E-001, +0.00000000000E+000
+1.96187500000E+009, -3.82998006754E-001, +0.00000000000E+000
+1.97375000000E+009, -3.89626132448E-001, +0.00000000000E+000
+1.98562500000E+009, -3.86929157211E-001, +0.00000000000E+000
+1.99750000000E+009, -3.98459985342E-001, +0.00000000000E+000
+2.00937500000E+009, -3.89674284337E-001, +0.00000000000E+000
+2.02125000000E+009, -4.02986775868E-001, +0.00000000000E+000
+2.03312500000E+009, -3.99742881901E-001, +0.00000000000E+000
+2.04500000000E+009, -4.11600809676E-001, +0.00000000000E+000
+2.05687500000E+009, -4.10822906933E-001, +0.00000000000E+000
+2.06875000000E+009, -4.17182498502E-001, +0.00000000000E+000
+2.08062500000E+009, -4.14716581556E-001, +0.00000000000E+000
+2.09250000000E+009, -4.05136644163E-001, +0.00000000000E+000
+2.10437500000E+009, -4.18734528176E-001, +0.00000000000E+000
+2.11625000000E+009, -4.08707448684E-001, +0.00000000000E+000
+2.12812500000E+009, -4.11566986523E-001, +0.00000000000E+000
+2.14000000000E+009, -4.17794788455E-001, +0.00000000000E+000
+2.15187500000E+009, -4.14610829029E-001, +0.00000000000E+000
+2.16375000000E+009, -4.23844347587E-001, +0.00000000000E+000
+2.17562500000E+009, -4.10999018693E-001, +0.00000000000E+000
+2.18750000000E+009, -4.20202023748E-001, +0.00000000000E+000
+2.19937500000E+009, -4.12365516015E-001, +0.00000000000E+000
+2.21125000000E+009, -4.05547559095E-001, +0.00000000000E+000
+2.22312500000E+009, -3.90816687894E-001, +0.00000000000E+000
+2.23500000000E+009, -3.93552678899E-001, +0.00000000000E+000
+2.24687500000E+009, -3.93530432088E-001, +0.00000000000E+000
+2.25875000000E+009, -4.16944084051E-001, +0.00000000000E+000
+2.27062500000E+009, -4.20335378766E-001, +0.00000000000E+000
+2.28250000000E+009, -4.06325373672E-001, +0.00000000000E+000
+2.29437500000E+009, -4.13642339421E-001, +0.00000000000E+000
+2.30625000000E+009, -4.20419369828E-001, +0.00000000000E+000
+2.31812500000E+009, -4.20788125868E-001, +0.00000000000E+000
+2.33000000000E+009, -4.13062511930E-001, +0.00000000000E+000
+2.34187500000E+009, -4.16888484521E-001, +0.00000000000E+000
+2.35375000000E+009, -4.17702212674E-001, +0.00000000000E+000
+2.36562500000E+009, -4.13000201697E-001, +0.00000000000E+000
+2.37750000000E+009, -4.20294439919E-001, +0.00000000000E+000
+2.38937500000E+009, -4.18567627306E-001, +0.00000000000E+000
+2.40125000000E+009, -4.27161960283E-001, +0.00000000000E+000
+2.41312500000E+009, -4.33052955216E-001, +0.00000000000E+000
+2.42500000000E+009, -4.27406663401E-001, +0.00000000000E+000
+2.43687500000E+009, -4.41382482435E-001, +0.00000000000E+000
+2.44875000000E+009, -4.37318646090E-001, +0.00000000000E+000
+2.46062500000E+009, -4.42668147742E-001, +0.00000000000E+000
+2.47250000000E+009, -4.47545106813E-001, +0.00000000000E+000
